Origen,Destino,Tiempo,Linea
Guelatao,Peñon Viejo,2,Morado
Peñon Viejo,Acatitla,2,Morado
Acatitla,Santa Marta,2,Morado
Santa Marta,Los Reyes,2,Morado
Los Reyes,La Paz,2,Morado
Ciudad Azteca,Plaza Aragon,2,Gris Linea B
Plaza Aragon,Olimpica,2,Gris
Olimpica,Ecatepec,2,Gris
Ecatepec,Muzquiz,2,Gris
Muzquiz,Rio De Los Remedios,2,Gris
Rio De Los Remedios,Impulsora,2,Gris
Impulsora,Nezahualcototl,2,Gris
Nezahualcototl,Villa De Aragon,2,Gris
Villa De Aragon,Bosques De Aragon,2,Gris
Bosques De Aragon,Deportivo Oceania,2,Gris
Deportivo Oceania,Oceania,2,Gris
Oceania,Romero Rubio,2,Gris
Romero Rubio,Ricardo FloresMagon,2,Gris
Ricardo FloresMagon,San Lazaro,2,Gris
San Lazaro,Morelos,2,Gris
Morelos,Tepito,2,Gris
Tepito,Lagunilla,2,Gris
Lagunilla,Garibaldi/Lagunilla,2,Gris
Garibaldi/Lagunilla,Guerrero,2,Gris
Guerrero,Buenavista,2,Gris
Mixcoac,Insurgentes Sur,2,Dorada Linea 12
Insurgentes Sur,Hospital  20 De Noviembre,2,Dorada
Hospital  20 De Noviembre,Zapata,2,Dorada
Zapata,Parque De Los Venados,2,Dorada
Parque De Los Venados,Eje Central,2,Dorada
Eje Central,Ermita,2,Dorada
Ermita,Mexicaltzingo,2,Dorada
Mexicaltzingo,Culhuacan,2,Dorada
Culhuacan,San Andres Tomatlan,2,Dorada
San Andres Tomatlan,Lomas Estrella,2,Dorada
Lomas Estrella,Calle 11,2,Dorada
Calle 11,Periferico Oriente,2,Dorada
Periferico Oriente,Tezonco,2,Dorada
Tezonco,Olivos,2,Dorada
Olivos,Nopalera,2,Dorada
Nopalera,Zapotitlan,2,Dorada
Nopalera,Tlaltenco,2,Dorada
Tlaltenco,Tlahuac,2,Dorada
,,,
,,,
